initial_mass,Gaia_G,Gaia_BP,Gaia_RP
0.1,10.851822,12.747618,9.556781
0.10205642908099644,10.819714,12.704883,9.526999
0.10605341176019736,10.757314,12.622236,9.469086
0.11005018278564196,10.695553,12.540795,9.411757
0.11404487873296576,10.63452,12.460699,9.355088
0.11803754622099422,10.574217,12.381962,9.299074
0.12202803404536258,10.514615,12.304535,9.243682
0.12601812894798733,10.455681,12.228395,9.188872
0.13000847654351752,10.397326,12.153406,9.134562
0.1339962612238707,10.339637,12.079679,9.080824
0.13798566591196984,10.282494,12.00708,9.027541
0.1419747446304774,10.225882,11.935555,8.9747
0.14596446339079736,10.169743,11.865022,8.922244
0.14995637043395377,10.114018,11.795407,8.870116
0.15828614164321453,10.022879,11.678571,8.785736
0.16676270743895927,9.930293,11.560016,8.700124
0.17532872156475168,9.836812,11.440453,8.613788
0.18399372283312548,9.742305,11.319736,8.526603
0.19275274771057666,9.646896,11.198041,8.438679
0.20119429793260568,9.558055,11.085125,8.356834
0.20781560210054062,9.501595,11.014147,8.304669
0.21445672661724616,9.444904,10.943018,8.252308
0.221114210931123,9.388011,10.871746,8.199788
0.22778957943786218,9.330846,10.80022,8.147054
0.23448361422723665,9.273307,10.728264,8.094028
0.24119662754465643,9.215347,10.655796,8.04068
0.24793055705416772,9.156881,10.58268,7.986943
0.2579739922572368,9.081425,10.487692,7.917906
0.26953554904451116,8.998406,10.383368,7.842048
0.2811673700859293,8.915075,10.279068,7.765932
0.2928713947362198,8.831356,10.174662,7.689499
0.3028298117592385,8.760036,10.084805,7.624852
0.3099730215049302,8.708852,10.018425,7.579241
0.3113108176586835,8.698268,10.004581,7.569864
0.31261060813451774,8.688207,9.991482,7.560933
0.3138939042471719,8.678522,9.978926,7.552319
0.3151605492564057,8.669278,9.96701,7.544075
0.31641274039878364,8.660337,9.955561,7.536075
0.317648719609794,8.6518,9.944698,7.528413
0.3188703597540444,8.643604,9.934357,7.521027
0.3203654854955099,8.633927,9.922113,7.51232
0.3260618889579374,8.597119,9.87405,7.479799
0.3355039479407983,8.535707,9.794441,7.425426
0.3531085538974311,8.423411,9.64962,7.326049
0.3709593792872138,8.315332,9.510731,7.230585
0.3866468333545261,8.225366,9.395257,7.151394
0.41032676681041425,8.100154,9.235416,7.041389
0.4381851498977684,7.960372,9.057936,6.918865
0.46425079243623,7.838182,8.903625,6.811929
0.48892121492189994,7.729293,8.766946,6.716628
0.5172799013345606,7.611792,8.61997,6.613926
0.5487868568977602,7.486803,8.464691,6.50456
0.5806418003270584,7.376397,8.330547,6.406691
0.6085030325719213,7.281143,8.215014,6.32247
0.6298766162756628,7.209841,8.127718,6.260148
0.6511472451437128,7.140148,8.0433,6.198935
0.6724010087907066,7.070469,7.959579,6.137525
0.6936593203609691,7.000073,7.87554,6.075322
0.7216755097714214,6.900741,7.753388,5.990018
0.752536563365996,6.789735,7.6168,5.895131
0.7835762163734901,6.675394,7.476991,5.797096
0.8147446743977282,6.557878,7.334168,5.695967
0.846062449290757,6.436314,7.187735,5.591081
0.8775558155157752,6.309895,7.036635,5.48175
0.9094087721395671,6.17595,6.876672,5.366257
0.9416385154051624,6.031698,6.703061,5.243075
0.9736353414578179,5.881848,6.523728,5.114638
1.0171899672765534,5.670967,6.273108,4.933494
1.0403711828205244,5.556888,6.138219,4.835433
1.0686961672097153,5.418391,5.975306,4.716097
