initial_mass,Gaia_G,Gaia_BP,Gaia_RP
0.1,13.808018,16.056503,12.452286
0.10344921017621025,13.702909,15.905886,12.354848
0.10810297513345854,13.561411,15.703543,12.223892
0.1129323430381767,13.415014,15.494783,12.088728
0.11754374849258482,13.276095,15.297225,11.960836
0.12240246755502215,13.130734,15.091311,11.82746
0.12710030888559723,12.991409,14.894527,11.70013
0.1318351546669564,12.851835,14.697727,11.573143
0.13664314720605278,12.710793,14.499529,11.445288
0.14120393585926724,12.577567,14.313272,11.324834
0.1456799779741092,12.447244,14.132261,11.207187
0.1499475771785997,12.323382,13.961558,11.095442
0.16700420129937316,12.066875,13.632743,10.858345
0.1849559697716486,11.798729,13.294304,10.609881
0.20067592261844697,11.56765,13.007442,10.395223
0.2067884307268364,11.496972,12.919161,10.329974
0.21339498612088378,11.420836,12.824646,10.259642
0.21963121180282802,11.349216,12.736274,10.193439
0.22572728296862932,11.279425,12.65064,10.128888
0.23221895932644804,11.205335,12.560234,10.060317
0.23836383787630636,11.135417,12.475374,9.995572
0.2444288945805972,11.066603,12.392265,9.931811
0.2514668041911384,10.989224,12.298922,9.860206
0.262119975010099,10.885471,12.172471,9.764915
0.2722572088469415,10.78712,12.053439,9.674522
0.28269503878706204,10.686709,11.933237,9.581984
0.2929048370236651,10.588657,11.81641,9.491588
0.30120600183637697,10.509133,11.721613,9.418408
0.30568188960826176,10.466706,11.670081,9.379808
0.3100923919469872,10.424837,11.619314,9.341707
0.3108840630875441,10.417313,11.610312,9.33481
0.31165914243847076,10.410101,11.60165,9.328216
0.3125084537003401,10.402284,11.592248,9.321074
0.31333749637801356,10.394752,11.583166,9.314202
0.31416037942545566,10.387286,11.574166,9.307391
0.31498845381617724,10.379838,11.565175,9.300602
0.3158469844360015,10.372139,11.55588,9.293587
0.31671605609614595,10.364355,11.546482,9.286492
0.31755793251962,10.356878,11.537443,9.279685
0.3184171213196937,10.349287,11.52826,9.272776
0.31933136459804384,10.341211,11.518496,9.265426
0.3209582201938828,10.326215,11.500615,9.251666
0.32481018615342716,10.288416,11.456303,9.216664
0.32893821211152446,10.249816,11.410509,9.181163
0.33709642679157414,10.180848,11.327142,9.11842
0.3444100087990596,10.105124,11.241265,9.047064
0.3501422162277953,10.03978,11.168844,8.984763
0.35495810585742105,9.996704,11.118973,8.944668
0.35960889768442167,9.955728,11.071456,8.906596
0.36375646238867065,9.922188,11.032004,8.875714
0.3676526221082447,9.891068,10.995378,8.847095
0.3716056369074214,9.859694,10.958529,8.818231
0.37588574818363757,9.825989,10.919016,8.787211
0.380101348156724,9.792941,10.88029,8.756815
0.38792814012728294,9.731618,10.808601,8.700393
