initial_mass,Gaia_G,Gaia_BP,Gaia_RP
4.000402760200936,-1.056902,-1.081998,-1.010209
4.017550233450198,-1.062979,-1.09222,-1.008492
4.03453572819106,-1.066788,-1.099925,-1.005041
4.051292625609268,-1.068806,-1.10569,-1.000127
4.06805652020898,-1.06859,-1.109142,-0.993179
4.084694747578385,-1.066531,-1.110544,-0.984862
4.101213103554239,-1.062404,-1.109737,-0.974778
4.117732775504387,-1.056016,-1.106625,-0.962503
4.134308318981981,-1.047055,-1.100937,-0.947632
4.150975510985807,-1.035563,-1.092648,-0.930374
4.16792347625096,-1.021169,-1.08142,-0.910258
4.1851476400803485,-1.003836,-1.067247,-0.887142
4.203022145281087,-0.982462,-1.049028,-0.859937
4.221747423592973,-0.956822,-1.026534,-0.828428
4.242032589828336,-0.925082,-0.997953,-0.79073
4.265891099936708,-0.880893,-0.956931,-0.740485
4.297065431065397,-0.809509,-0.888288,-0.663759
4.327250076064782,-0.72813,-0.807857,-0.580422
4.348374911589633,-0.669998,-0.749251,-0.523079
4.354938719769947,-0.655499,-0.732789,-0.512266
4.356687333606641,-0.655614,-0.730661,-0.516596
4.3699720443453645,-0.639524,-0.71417,-0.50122
4.402429601603366,-0.587571,-0.661988,-0.449583
4.449343686626985,-0.547253,-0.621797,-0.408928
4.513937309720439,-0.562327,-0.63976,-0.418586
4.549515842256903,-0.58777,-0.668046,-0.438681
4.576416168351762,-0.609905,-0.69288,-0.455695
4.59965676542398,-0.628615,-0.714224,-0.469358
4.622708994518327,-0.642266,-0.730497,-0.477938
4.648749332181627,-0.649706,-0.740663,-0.480058
4.684453070744706,-0.643255,-0.737157,-0.467783
4.744142632267836,-0.597492,-0.693773,-0.417219
4.792800690398266,-0.550059,-0.646428,-0.369532
4.846095510910021,-0.519716,-0.615801,-0.339696
4.93141673684173,-0.523819,-0.620348,-0.342897
5.0437906408215945,-0.567574,-0.665606,-0.38368
5.103921204173002,-0.594071,-0.692997,-0.408409
5.164258271489509,-0.620771,-0.720584,-0.433351
5.221306871432963,-0.645692,-0.746329,-0.456634
5.273399794204052,-0.667909,-0.769281,-0.477386
5.325690014937605,-0.690258,-0.792368,-0.498263
5.378616511601929,-0.712947,-0.815802,-0.519462
5.435040014972337,-0.736551,-0.840182,-0.541513
5.495153900925269,-0.761362,-0.865807,-0.564691
5.554619434924026,-0.785951,-0.891198,-0.587665
5.608339391805142,-0.807869,-0.91384,-0.608127
5.641770636495824,-0.820211,-0.926627,-0.61957
5.6763491129627495,-0.833046,-0.93992,-0.631478
5.710335206464305,-0.845668,-0.952993,-0.643189
5.745242377442294,-0.858679,-0.966467,-0.655263
5.780367679701792,-0.871791,-0.980045,-0.667432
5.815060522778316,-0.88475,-0.993463,-0.679462
5.851136045839626,-0.898287,-1.007474,-0.692035
5.887084249757485,-0.911797,-1.021456,-0.704587
