ra,dec,parallax,pmra,pmdec,Gaia_G,Gaia_BP,Gaia_RP
119.58020038003876,-60.8666146999943,2.3846987210493507,-5.590519185657802,11.758761954137151,14.894317,15.520232,14.133102
119.56904402045211,-60.87002684519441,2.3881647857821298,-4.39226026797186,11.072893649593023,17.766943,19.183777,16.616158
119.59290175398726,-60.85767021973842,2.4859672350910325,-3.2993978560338233,10.666075006291297,7.1165614,7.105064,7.09101
119.60034115885048,-60.87521563480609,2.4687844175054754,-4.650773768577153,11.337276061129412,9.414723,9.4549885,9.309859
119.59272673614463,-60.85615340244114,2.4732325120531726,-5.285646245259707,11.625687401118395,7.960312,7.96983,7.883475
119.55845745611563,-60.871111891315216,2.5117697039528655,-4.810368894194993,11.042878468157658,18.316698,19.447878,17.021286
119.55417647084771,-60.874058890102845,2.442403113939911,-4.234626126988181,11.17342045320039,8.187638,8.19597,8.121223
119.54361316424705,-60.86590284021106,2.499818562966059,-4.526279466065362,9.92612132865304,9.473108,9.573235,9.275251
119.54411660603056,-60.84826106308631,2.409232299854215,-4.329352478665509,11.985642474475759,14.77218,15.383848,14.028407
119.63764644221106,-60.857993062094366,2.410261980810384,-4.0583138584938165,11.126860389684396,17.599361,19.021357,16.385435
119.63127798357829,-60.8861265092689,2.3920545776777575,-4.870244351378981,11.190260471320276,14.500767,15.062532,13.784389
119.51844556484883,-60.878443936260204,2.3821755874641206,-4.991607848522805,11.96989332307165,17.77287,19.137657,16.617668
119.5467664614082,-60.83325566087696,2.359068218277496,-5.143700895980415,11.22105656719979,13.680722,14.148693,13.044584
119.63355661679805,-60.89751587097782,2.42557554183888,-4.762503776380399,11.820896960749575,10.468784,10.579394,10.255532
119.5824207925509,-60.827303064664584,2.484585798244488,-4.707593514953294,11.764433769887503,10.904547,11.076833,10.597788
119.53198059215747,-60.83382424181407,2.407384432690013,-4.878970391177602,11.332333269218129,14.607625,15.186619,13.881404
119.65174914918606,-60.838243701286935,2.3754757029499918,-5.348851013765731,11.30122068661666,12.325803,12.107966,11.288074
119.60211650685392,-60.911056274863796,2.4389330898802966,-4.531449247342582,11.330946878868705,17.183804,18.341993,16.084684
119.5446295412487,-60.82561495329528,2.4211894073988995,-5.117609384288003,10.96493791813265,11.865831,12.159695,11.404709
119.49334528041523,-60.879937216423734,2.368897476600179,-5.466244015366355,10.95943579209847,17.59276,,
119.49297597953878,-60.88013043278345,2.3881037896731137,-4.9881671414372555,12.347856864730632,17.003414,17.903103,15.403755
119.67284441889349,-60.8485276265954,2.4325861058979266,-5.093992241164717,11.682955787671869,16.858965,17.945412,15.809261
119.57008828825951,-60.91456025628581,2.4166237600035614,-3.9852864797038374,10.895439468766632,13.79628,14.254684,13.1738205
119.59686474967579,-60.91522740388325,2.475408475351165,-4.818257843991442,10.864754908921547,17.884249,,
119.49176566454982,-60.845925481028765,2.4641651776876237,-4.695354146502187,11.037897222795495,8.991874,9.040546,8.87006
119.59746413078338,-60.91574439306837,2.4874509409296786,-3.181909728471579,12.601640449421204,13.945642,14.489893,13.185648
119.67365235314806,-60.84468539089097,2.352013724382705,-4.483936913094988,11.53191308865438,17.633814,18.902094,16.461464
119.49029339463155,-60.894099214550415,2.424311507625104,-3.878206671898771,10.492701977864833,14.237989,14.770127,13.546953
119.48675278787135,-60.84268804035413,2.429419442612798,-5.119684226869826,10.867932740066868,12.55777,12.905868,12.030952
119.62416038701264,-60.81675006599073,2.439539960312945,-5.472712176790307,12.134253787415357,15.479475,16.425423,14.508211
119.54007819605944,-60.816842991967555,2.426642888102556,-4.85265197554911,11.83851674225248,6.3118525,6.959257,5.535008
119.69827872903956,-60.860425236454105,2.4178749476738433,-4.577921604897698,10.671468906849192,11.241735,11.461045,10.86624
119.47834692461227,-60.84075415950361,2.3652098602666127,-4.431195798423502,10.830151947356038,16.949203,18.01332,15.906143
119.63650696589605,-60.81455797125102,2.3523819651904616,-4.342438627201821,11.631039777007118,16.70516,17.796417,15.680225
119.5974566985263,-60.80747603553203,2.3226427480481036,-4.6637655368865865,11.79557436705533,18.319044,19.351212,17.05861
119.49133412127779,-60.82663205719775,2.4203236079642356,-4.978830988862932,10.781693228762439,18.652416,20.233643,17.39857
119.70161741814492,-60.8396631941592,2.405739488227572,-4.6951960212900445,11.934551559469872,17.202091,17.996098,15.942459
