source_id,ra,dec,parallax,parallax_error,period,period_error,mag,mag_err
4.28621E+17,7.494096944,60.21195747,0.422230056,0.034159352,8.000656115,3.35E-05,5.857,0.027
2.02726E+18,299.3691831,26.55644979,0.840802726,0.039363257,6.32059038,6.48E-05,5.201,0.021
2.02795E+18,297.8787645,27.46020707,0.372855299,0.03034934,44.87620944,0.001211108,3.806,0.228
2.03043E+18,299.454192,30.26589544,0.216274977,0.028991787,11.6630405,1.99E-04,7.366,0.021
2.03178E+18,296.2030594,29.26467923,1.169541947,0.051568658,3.845987064,1.75E-05,5.418,0.024
2.03085E+18,300.1931414,30.90759045,0.245333331,0.031414984,6.961104102,7.15E-05,8.699,0.018
2.03006E+18,299.7949765,29.45072393,0.40033965,0.032268969,7.818231417,7.69E-05,6.578,0.031
4.26537E+18,284.3511067,-0.730238676,0.39987086,0.042510833,4.182774728,8.63E-05,7.785,0.031
4.26755E+18,286.1642345,1.306143635,0.421024736,0.044920018,10.60281174,9.06E-05,5.139,0.016
4.50073E+18,265.485632,15.0750476,0.20020406,0.03597782,1.209506663,2.44E-06,11.225,0.02
2.01279E+18,358.6023773,62.14946585,0.138888661,0.027678016,4.566151485,2.11E-05,8.583,0.022
2.01132E+18,354.7016231,59.391821,0.355162558,0.026200309,4.997542716,1.76E-05,7.383,0.018
2.0113E+18,353.7483919,59.35815225,0.171923214,0.027735565,4.789475241,5.18E-05,8.354,0.022
2.01249E+18,353.3345429,61.11907063,0.194084901,0.026208708,3.871176883,1.04E-05,8.787,0.02
2.00394E+18,342.1582895,56.3215335,0.436732605,0.03512353,4.983295672,2.21E-05,6.537,0.017
2.00603E+18,335.0200207,56.06089955,0.170133312,0.031647433,4.366247978,9.63E-06,9.068,0.023
2.00699E+18,340.3604961,56.4327728,0.323025124,0.032964078,6.418959165,2.24E-05,6.576,0.02
2.0072E+18,340.2172425,56.82945616,0.457508107,0.03827534,10.88438537,9.10E-05,5.594,0.02
2.008E+18,337.2086738,58.21093293,0.264774234,0.035310531,7.232134181,6.54E-05,7.7,0.021
2.01029E+18,346.7919826,58.55419187,0.412511982,0.03194972,5.440900569,1.39E-05,6.793,0.02
2.01189E+18,359.5393304,61.21369648,0.287565898,0.031357863,5.140766269,8.72E-06,7.174,0.023
2.01189E+18,359.5748714,61.22105403,0.28713882,0.032163162,4.875135518,1.38E-05,7.973,0.029
2.0085E+18,341.6031757,59.44218789,0.679482107,0.030347877,6.233971429,5.71E-05,5.832,0.016
2.01303E+18,359.3956502,62.71824086,0.220968572,0.02941297,9.805688982,7.07E-05,6.887,0.029
2.00404E+18,342.2632276,56.42819689,0.495690974,0.038217426,5.44565097,4.36E-05,5.952,0.026
2.01013E+18,345.3380068,57.86701668,0.254464999,0.027675553,3.919209587,1.89E-05,8.513,0.022
2.01461E+18,342.0961763,60.40476376,0.389670039,0.027218483,4.278625781,2.05E-05,8.011,0.021
5.54042E+18,125.3608674,-38.42169997,0.209107515,0.023793503,3.960977934,1.45E-05,9.285,0.023
5.54742E+18,122.3634598,-33.26211503,0.165167859,0.028823778,3.563103048,1.17E-05,9.514,0.021
5.54151E+18,123.0933221,-36.94374227,0.567616198,0.029561476,6.664228619,1.03E-04,5.866,0.017
5.54445E+18,120.4328403,-36.40053689,0.134946212,0.026786327,1.877705414,4.35E-06,11.274,0.027
5.54584E+18,121.2959659,-34.36026684,0.180008778,0.026931291,4.088596627,1.26E-05,8.869,0.023
5.54736E+18,122.7950327,-33.51586073,0.256754858,0.03607858,3.482176871,1.39E-05,8.123,0.033
5.53911E+18,118.437778,-36.97038484,0.257716116,0.024702595,17.89165591,1.38E-04,7.631,0.024
5.54253E+18,127.2435982,-36.23207196,0.201815636,0.029070961,3.705355077,1.15E-05,8.702,0.022
5.54421E+18,120.2015954,-37.82794439,0.31025401,0.03161877,5.884758737,3.63E-05,7.536,0.029
5.54648E+18,123.2675471,-34.57851335,0.584437875,0.026037014,41.4641142,9.98E-04,4.017,0.24
5.54774E+18,122.6078229,-32.52136185,0.208144608,0.025995465,5.464604252,3.05E-05,8.348,0.019
4.3175E+18,296.9543608,14.55199921,0.347792298,0.0360576,15.48498345,1.71E-04,6.527,0.016
4.30794E+18,290.2597828,8.516327802,0.553950516,0.05508084,7.239957963,9.24E-05,6.146,0.024
4.31318E+18,287.5017246,12.53653631,0.477475292,0.050335503,13.43999288,2.15E-04,6.723,0.015
1.80802E+18,300.2909035,15.8035018,0.228325049,0.036178403,6.108202153,3.04E-05,8.026,0.027
2.33871E+17,64.50711744,46.6811647,0.222991593,0.039241386,1.696119843,4.41E-06,9.266,0.018
2.19816E+18,329.4695166,56.16388609,0.287722271,0.031662604,17.87197587,1.99E-04,6.451,0.018
2.20002E+18,335.9109189,57.68078305,0.224349376,0.02927631,3.767495035,1.60E-05,8.502,0.02
3.94819E+17,6.581045753,51.28034397,0.91502965,0.046482319,2.138451128,2.04E-06,6.331,0.016
3.42558E+18,93.99952835,23.74748714,0.329087059,0.04503552,1.906295338,4.03E-06,9.212,0.019
3.46548E+18,176.9135747,-33.27649545,0.437860379,0.037249182,11.39014928,6.97E-05,6.201,0.024
3.44148E+18,86.43715024,27.06789941,0.25345007,0.04005343,3.622803291,2.08E-05,8.397,0.018
4.25674E+18,280.5329694,-4.293492385,0.320927655,0.052406307,3.757861001,1.71E-05,6.492,0.021
4.25587E+18,283.9835201,-2.87976513,0.525243933,0.040091149,2.907807263,1.14E-05,7.875,0.027
4.86834E+17,54.08394715,62.28722675,0.169925151,0.028023853,3.996897634,1.19E-05,9.226,0.024
4.88753E+17,60.65212733,64.44801886,0.215019116,0.030365015,12.25842041,8.10E-05,9.086,0.019
2.07022E+18,311.4991268,45.30693519,0.44737087,0.029269532,10.14797047,1.75E-04,5.872,0.023
2.05501E+18,303.0951061,32.87160046,0.697229334,0.038827214,5.955900846,6.91E-05,5.927,0.024
2.03791E+18,289.5814767,27.85083962,0.150495805,0.02847731,41.2693775,6.44E-04,8.03,0.024
2.05512E+18,301.3360887,32.65908918,0.33886515,0.033482422,4.950447848,3.14E-05,8.557,0.02
2.16448E+18,317.7860113,47.16828272,0.343320213,0.026846638,1.76619285,5.08E-06,8.1,0.018
2.1663E+18,311.5522959,45.47860625,0.528176825,0.027448065,5.099550827,1.03E-04,6.721,0.016
4.09698E+18,276.1854194,-16.79717376,0.702226639,0.058590437,12.72917359,1.79E-04,5.718,0.017
1.85788E+18,312.8676765,28.25048271,1.673804506,0.089141328,2.217210945,1.85E-05,4.289,0.015
2.93426E+18,107.3940972,-18.56328531,0.195642252,0.025000412,2.546529508,7.29E-06,10.427,0.023
